instance,published,sankhya_status,sankhya_iterations,sankhya_seconds,sankhya_objective,sankhya_rel_error,highs_pdlp_status,highs_pdlp_iterations,highs_pdlp_seconds,highs_pdlp_objective,highs_pdlp_rel_error,highs_simplex_status,highs_simplex_iterations,highs_simplex_seconds,highs_simplex_objective,highs_simplex_rel_error
afiro,-464.75314286,optimal,360,0.0073,-464.7532636823821,2.599710920581499e-07,optimal,320,0.0177,-464.75320583,1.3549128382471387e-07,optimal,6,0.0072,-464.75314286,0.0
sc50a,-64.575077059,optimal,1000,0.0053,-64.57488605501001,2.957859265241064e-06,optimal,480,0.0069,-64.57496432,1.7458593179064538e-06,optimal,18,0.0062,-64.575077059,0.0
adlittle,225494.96316,optimal,16560,0.0239,225494.55216721463,1.8226251248655281e-06,optimal,7240,0.0214,225494.75565,9.202422843485915e-07,optimal,87,0.0082,225494.96316,0.0
blend,-30.812149846,optimal,2320,0.0088,-30.8121468381994,9.761735599814407e-08,optimal,1320,0.0089,-30.812166031,5.252798029567213e-07,optimal,80,0.0075,-30.812149846,0.0
share1b,-76589.318579,optimal,60560,0.1725,-76589.33764514767,2.489400352431891e-07,optimal,18480,0.0909,-76589.233418,1.111917452400128e-06,optimal,160,0.0104,-76589.318579,0.0
stocfor1,-41131.976219,optimal,13120,0.0254,-41131.935451046156,9.91149893289765e-07,optimal,5360,0.0155,-41131.980034,9.275022389775566e-08,optimal,53,0.0074,-41131.976219,0.0
sctap1,1412.25,optimal,2520,0.0216,1412.248465429131,1.086614175180244e-06,optimal,2200,0.0321,1412.2498305,1.2002124275705038e-07,optimal,323,0.0139,1412.25,0.0
scfxm1,18416.759028,optimal,15440,0.1157,18416.786161064145,1.473281162184108e-06,optimal,12640,0.1244,18416.781357,1.2124283086669559e-06,optimal,375,0.0166,18416.759028,0.0
bandm,-158.62801845,optimal,32160,0.2344,-158.62794430100595,4.6743945227314264e-07,optimal,22400,0.1661,-158.62788577,8.364222241673761e-07,optimal,382,0.0176,-158.62801845,0.0
degen2,-1435.178,optimal,3920,0.0512,-1435.1778380653839,1.1283242653124039e-07,optimal,3040,0.0547,-1435.1781288,8.974496533301806e-08,optimal,458,0.0241,-1435.178,0.0
fit1p,9146.3780924,optimal,30240,0.9719,9146.378054564846,4.136626961460834e-09,optimal,28680,1.1551,9146.3780214,7.76263562165361e-09,optimal,860,0.0603,9146.3780924,0.0
25fv47,5501.8458883,optimal,73560,2.0695,5501.856902297546,2.0018731475757524e-06,optimal,48840,1.7579,5501.839265,1.2038323383008725e-06,optimal,2583,0.1742,5501.8458883,0.0
woodw,1.3044763331,optimal,64760,8.2573,1.3044763340916452,7.601864328456454e-10,optimal,11600,0.998,1.3044760119,2.4622907428879486e-07,optimal,793,0.0985,1.3044763331,0.0
degen3,-987.294,optimal,19600,1.1861,-987.2942384912926,2.4156056112417887e-07,optimal,20000,1.2538,-987.29342174,5.857019287036072e-07,optimal,2159,0.1909,-987.294,0.0
stocfor2,-39024.408538,optimal,87280,2.928,-39024.4099930773,3.728633827111612e-08,optimal,29360,0.8344,-39024.409817,3.2774359544343875e-08,optimal,820,0.0409,-39024.408538,0.0
greenbea,-72462405.908,iteration limit,1000000,89.9352,-72455779.04938011,9.145236811916202e-05,time limit reached,2329102,180.6152,0.0,1.0,optimal,2530,0.2631,-72555248.13,0.0012812467490778963
pilot87,301.71072827,optimal,271200,47.7508,301.70923415228253,4.952153097232469e-06,optimal,168360,27.4283,301.71592827,1.723505169941663e-05,optimal,8956,3.8848,301.71034733,1.2626001143477735e-06
maros-r7,1497185.1665,optimal,5840,1.8514,1497184.9768551397,1.2666760570430554e-07,optimal,3720,0.9475,1497184.8615,2.037156169853139e-07,optimal,2498,0.674,1497185.1665,0.0
