regime=polish  base=--tol=1e-8 --gap-tol=1e-2
instance    |                    no polish |                        with polish | ratio
            |    iters   secs     obj err |    iters   secs     obj err     feas | iters  secs
afiro       |      360   0.52   5.014e-09 |      410   0.01   5.014e-09  1.7e-06 |  1.14  0.02
sc50a       |     1360   0.01   2.395e-09 |     1547   0.00   2.395e-09  1.7e-07 |  1.14  0.77
adlittle    |     7440   0.01   9.447e-06 |     3805   0.01   5.156e-03  7.5e-06 |  0.51  0.60
blend       |     3160   0.01   4.277e-09 |     3400   0.01   4.277e-09  1.8e-07 |  1.08  0.80
share1b     |    58640   0.08   6.120e-09 |    61680   0.08   6.120e-09  4.2e-04 |  1.05  1.03  <- off:numerical error on:numerical error
stocfor1    |    14360   0.01   4.237e-10 |    14800   0.01   2.340e-05  2.2e-07 |  1.03  0.80
sctap1      |     1760   0.01   1.120e-08 |     2111   0.01   6.259e-07  1.3e-08 |  1.20  0.90
scfxm1      |    15920   0.05   1.439e-09 |    17960   0.06   1.439e-09  8.5e-06 |  1.13  1.07
bandm       |    70320   0.16   5.066e-08 |     7720   0.02   2.088e-02  4.1e-07 |  0.11  0.13  <- off:numerical error on:ok
degen2      |     4640   0.03   7.353e-11 |     4037   0.03   1.878e-06  1.4e-07 |  0.87  0.84
fit1p       |    41440   0.64   5.427e-12 |     2300   0.04   2.499e-04  9.0e-08 |  0.06  0.07
25fv47      |    62360   0.83   1.475e-07 |     7560   0.11   6.842e-03  6.0e-06 |  0.12  0.13
woodw       |    60840   2.03   6.082e-11 |    62440   2.04   6.082e-11  8.9e-09 |  1.03  1.00
degen3      |    25440   0.80   3.703e-09 |    15565   0.50   3.274e-06  1.1e-07 |  0.61  0.62
stocfor2    |    38880   0.58   4.121e-10 |    42200   0.63   4.121e-10  3.5e-07 |  1.09  1.09
greenbea    |   200000   6.87   1.141e-02 |   221280   7.87   1.141e-02  7.6e+00 |  1.11  1.14  <- off:iteration limit on:iteration limit
pilot87     |   200000  17.47   3.528e-05 |   202560  17.34   9.758e-04  1.8e-04 |  1.01  0.99  <- off:iteration limit on:iteration limit
maros-r7    |    16040   2.42   1.697e-11 |     1950   0.34   8.430e-06  1.2e-05 |  0.12  0.14
TOTAL       |   822960  32.54             |   673325  29.09                      |  0.82  0.89
polishing used fewer iterations on 7 of 18
