regime=strict  base=--tol=1e-8
instance    |                    no polish |                        with polish | ratio
            |    iters   secs     obj err |    iters   secs     obj err     feas | iters  secs
afiro       |      400   0.00   2.577e-09 |      400   0.00   2.577e-09  9.8e-07 |  1.00  0.80
sc50a       |     1760   0.00   1.501e-08 |     1760   0.00   1.501e-08  6.2e-07 |  1.00  1.02
adlittle    |    14880   0.01   4.687e-09 |    14880   0.01   4.687e-09  2.9e-06 |  1.00  0.84
blend       |     3160   0.01   4.277e-09 |     3160   0.00   4.277e-09  1.8e-07 |  1.00  0.66
share1b     |    58640   0.08   6.120e-09 |    58640   0.08   6.120e-09  4.2e-04 |  1.00  0.97  <- off:numerical error on:numerical error
stocfor1    |    14560   0.01   5.877e-10 |    14560   0.01   5.877e-10  1.6e-07 |  1.00  0.79
sctap1      |     1960   0.01   5.275e-09 |     1960   0.01   5.275e-09  9.9e-09 |  1.00  0.72
scfxm1      |    15920   0.05   1.439e-09 |    15920   0.05   1.439e-09  8.5e-06 |  1.00  0.97
bandm       |    73400   0.17   1.904e-08 |    73400   0.17   1.904e-08  1.3e-06 |  1.00  0.98  <- off:numerical error on:numerical error
degen2      |     4640   0.03   7.353e-11 |     4640   0.03   7.353e-11  4.9e-08 |  1.00  0.86
fit1p       |    41440   0.65   5.427e-12 |    41440   0.65   5.427e-12  5.9e-08 |  1.00  1.00
25fv47      |    64120   0.93   2.373e-08 |    64120   0.85   2.373e-08  4.2e-06 |  1.00  0.91
woodw       |    60840   1.94   6.082e-11 |    60840   1.95   6.082e-11  8.9e-09 |  1.00  1.00
degen3      |    25440   0.79   3.703e-09 |    25440   0.79   3.703e-09  4.3e-07 |  1.00  1.00
stocfor2    |    38880   0.57   4.121e-10 |    38880   0.57   4.121e-10  3.5e-07 |  1.00  1.00
greenbea    |   200000   6.81   1.141e-02 |   221280   7.44   1.141e-02  7.6e+00 |  1.11  1.09  <- off:iteration limit on:iteration limit
pilot87     |   200000  17.38   3.528e-05 |   201200  17.34   3.528e-05  1.6e-02 |  1.01  1.00  <- off:iteration limit on:iteration limit
maros-r7    |    16040   2.41   1.697e-11 |    16040   2.43   1.697e-11  7.1e-06 |  1.00  1.01
TOTAL       |   836080  31.86             |   858560  32.38                      |  1.03  1.02
polishing used fewer iterations on 0 of 18
