instance,published,sankhya_status,sankhya_iterations,sankhya_seconds,sankhya_objective,sankhya_rel_error,highs_pdlp_status,highs_pdlp_iterations,highs_pdlp_seconds,highs_pdlp_objective,highs_pdlp_rel_error,highs_simplex_status,highs_simplex_iterations,highs_simplex_seconds,highs_simplex_objective,highs_simplex_rel_error
afiro,-464.75314286,optimal,360,0.0067,-464.7532636823821,2.599710920581499e-07,optimal,320,0.0221,-464.75320583,1.3549128382471387e-07,optimal,6,0.0101,-464.75314286,0.0
sc50a,-64.575077059,optimal,1000,0.007,-64.57488605501001,2.957859265241064e-06,optimal,480,0.0082,-64.57496432,1.7458593179064538e-06,optimal,18,0.009,-64.575077059,0.0
adlittle,225494.96316,optimal,16560,0.0287,225494.55216721463,1.8226251248655281e-06,optimal,7240,0.0295,225494.75565,9.202422843485915e-07,optimal,87,0.0153,225494.96316,0.0
blend,-30.812149846,optimal,2640,0.0136,-30.812147377187625,8.012463876119277e-08,optimal,1320,0.0136,-30.812166031,5.252798029567213e-07,optimal,80,0.0125,-30.812149846,0.0
share1b,-76589.318579,optimal,61040,0.2174,-76589.32033671236,2.294983684373551e-08,optimal,18480,0.0939,-76589.233418,1.111917452400128e-06,optimal,160,0.01,-76589.318579,0.0
stocfor1,-41131.976219,optimal,13200,0.0269,-41131.96528237588,2.658910444182573e-07,optimal,5360,0.0176,-41131.980034,9.275022389775566e-08,optimal,53,0.0088,-41131.976219,0.0
sctap1,1412.25,optimal,2520,0.0219,1412.248465429131,1.086614175180244e-06,optimal,2200,0.0312,1412.2498305,1.2002124275705038e-07,optimal,323,0.0135,1412.25,0.0
scfxm1,18416.759028,optimal,17560,0.1372,18416.756055309623,1.614122426821579e-07,optimal,12640,0.1302,18416.781357,1.2124283086669559e-06,optimal,375,0.0175,18416.759028,0.0
bandm,-158.62801845,optimal,32200,0.2527,-158.6279429905264,4.7570078945623244e-07,optimal,22400,0.1709,-158.62788577,8.364222241673761e-07,optimal,382,0.0196,-158.62801845,0.0
degen2,-1435.178,optimal,3920,0.0552,-1435.1778380653839,1.1283242653124039e-07,optimal,3040,0.0606,-1435.1781288,8.974496533301806e-08,optimal,458,0.0276,-1435.178,0.0
fit1p,9146.3780924,optimal,33120,1.0798,9146.378094425025,2.2140179356665188e-10,optimal,28680,1.4302,9146.3780214,7.76263562165361e-09,optimal,860,0.1362,9146.3780924,0.0
25fv47,5501.8458883,optimal,73560,3.1266,5501.856902297546,2.0018731475757524e-06,optimal,48840,1.9507,5501.839265,1.2038323383008725e-06,optimal,2583,0.2087,5501.8458883,0.0
woodw,1.3044763331,optimal,64760,8.7346,1.3044763340916452,7.601864328456454e-10,optimal,11600,1.0979,1.3044760119,2.4622907428879486e-07,optimal,793,0.1112,1.3044763331,0.0
degen3,-987.294,optimal,19600,1.3263,-987.2942384912926,2.4156056112417887e-07,optimal,20000,1.4782,-987.29342174,5.857019287036072e-07,optimal,2159,0.2499,-987.294,0.0
stocfor2,-39024.408538,optimal,93520,3.8589,-39024.40955900576,2.6163260308308522e-08,optimal,29360,0.8601,-39024.409817,3.2774359544343875e-08,optimal,820,0.0435,-39024.408538,0.0
pilot87,301.71072827,optimal,405760,77.9613,301.7092949284569,4.750714538046709e-06,optimal,168360,28.3128,301.71592827,1.723505169941663e-05,optimal,8956,4.0468,301.71034733,1.2626001143477735e-06
maros-r7,1497185.1665,optimal,13760,4.5706,1497185.1665325728,2.175600917332005e-11,optimal,3720,1.1996,1497184.8615,2.037156169853139e-07,optimal,2498,0.6764,1497185.1665,0.0
