instance,rows,cols,pdlp_iterations,pdlp_objective,published_objective
afiro,27,32,320,-4.6475320583e+02,-464.75314286
sc50a,50,48,640,-6.4575075451e+01,-64.575077059
adlittle,56,97,8080,2.2549498463e+05,225494.96316
blend,74,83,1480,-3.0812149714e+01,-30.812149846
share1b,117,225,24480,-7.6589295748e+04,-76589.318579
stocfor1,117,111,5640,-4.1131973935e+04,-41131.976219
sctap1,300,480,2640,1.4122502550e+03,1412.25
scfxm1,330,457,15240,1.8416761394e+04,18416.759028
bandm,305,472,25600,-1.5862800289e+02,-158.62801845
degen2,444,534,5280,-1.4351780248e+03,-1435.178
25fv47,821,1571,60000,5.5018446150e+03,5501.8458883
degen3,1503,1818,25480,-9.8729403990e+02,-987.294
