name,rows,cols,nnz,quad_vars,quad_nnz,optimal
aug2d,10000,20200,40000,19800,0,1687411.8
aug2dc,10000,20200,40000,20200,0,1818368.1
aug2dcqp,10000,20200,40000,20200,0,6498134.8
aug2dqp,10000,20200,40000,19800,0,6237012.1
aug3d,1000,3873,6546,2673,0,554.06773
aug3dc,1000,3873,6546,3873,0,771.26244
aug3dcqp,1000,3873,6546,3873,0,993.36215
aug3dqp,1000,3873,6546,2673,0,675.23767
boyd1,18,93261,558985,93261,0,-61735220.0
boyd2,186531,93263,423784,2,0,21.256767
cont-050,2401,2597,12005,2597,0,-4.5638509
cont-100,9801,10197,49005,10197,0,-4.6443979
cont-101,10098,10197,49599,2700,0,0.19552733
cont-200,39601,40397,198005,40397,0,-4.6848759
cont-201,40198,40397,199199,10400,0,0.19248337
cont-300,90298,90597,448799,23100,0,0.19151232
cvxqp1l,5000,10000,14998,10000,29984,108704800.0
cvxqp1m,500,1000,1498,1000,2984,1087511.6
cvxqp1s,50,100,148,100,286,11590.718
cvxqp2l,2500,10000,7499,10000,29984,81842458.0
cvxqp2m,250,1000,749,1000,2984,820155.43
cvxqp2s,25,100,74,100,286,8120.9405
cvxqp3l,7500,10000,22497,10000,29984,115711100.0
cvxqp3m,750,1000,2247,1000,2984,1362828.7
cvxqp3s,75,100,222,100,286,11943.432
dpklo1,77,133,1575,77,0,0.37009622
dtoc3,9998,14999,34993,14997,0,235.26248
dual1,1,85,85,85,3473,0.035012966
dual2,1,96,96,96,4412,0.033733676
dual3,1,111,111,111,5997,0.13575584
dual4,1,75,75,75,2724,0.74609084
dualc1,215,9,1935,9,36,6155.2508
dualc2,229,7,1603,7,21,3551.3077
dualc5,278,8,2224,8,28,427.23233
dualc8,503,8,4024,8,28,18309.359
exdata,3001,3000,7500,1500,1124250,-141.84343
genhs28,8,10,24,10,9,0.92717369
gouldqp2,349,699,1047,349,348,0.00018427534
gouldqp3,349,699,1047,698,697,2.062784
hs118,17,15,39,15,0,664.82045
hs21,1,2,2,2,0,-99.96
hs268,5,5,25,5,10,5.7310705e-07
hs35,1,3,3,3,2,0.11111111
hs35mod,1,3,3,3,2,0.25
hs51,3,5,7,5,2,8.8817842e-16
hs52,3,5,7,5,2,5.3266476
hs53,3,5,7,5,2,4.0930233
hs76,3,4,10,4,2,-4.6818182
hues-mod,2,10000,19899,10000,0,34824690.0
huestis,2,10000,19899,10000,0,348246900000.0
ksip,1001,20,18411,20,0,0.57579794
laser,1000,1002,3000,1002,3000,2409601.4
liswet1,10000,10002,30000,10002,0,36.122402
liswet10,10000,10002,30000,10002,0,49.485785
liswet11,10000,10002,30000,10002,0,49.523957
liswet12,10000,10002,30000,10002,0,1736.9274
liswet2,10000,10002,30000,10002,0,24.998076
liswet3,10000,10002,30000,10002,0,25.00122
liswet4,10000,10002,30000,10002,0,25.000112
liswet5,10000,10002,30000,10002,0,25.034253
liswet6,10000,10002,30000,10002,0,24.995748
liswet7,10000,10002,30000,10002,0,498.84089
liswet8,10000,10002,30000,10002,0,7144.7006
liswet9,10000,10002,30000,10002,0,1963.2513
lotschd,7,12,54,6,0,2398.4159
mosarqp1,700,2500,3422,2500,45,-952.87544
mosarqp2,600,900,2930,900,45,-1597.4821
powell20,10000,10000,20000,10000,0,52089583000.0
primal1,85,325,5815,324,0,-0.035012965
primal2,96,649,8042,648,0,-0.033733676
primal3,111,745,21547,744,0,-0.13575584
primal4,75,1489,16031,1488,0,-0.74609083
primalc1,9,230,2070,229,0,-6155.2508
primalc2,7,231,1617,230,0,-3551.3077
primalc5,8,287,2296,286,0,-427.23233
primalc8,8,520,4160,519,0,-18309.43
q25fv47,820,1571,10400,446,59053,13744448.0
qadlittl,56,97,383,17,70,480318.86
qafiro,27,32,83,3,3,-1.5907818
qbandm,305,472,2494,25,16,16352.342
qbeaconf,173,262,3375,18,9,164712.06
qbore3d,233,315,1429,28,50,3100.2008
qbrandy,220,249,2148,16,49,28375.115
qcapri,271,353,1767,56,838,66793293.0
qe226,223,282,2578,67,897,212.65343
qetamacr,400,688,2409,378,4069,86760.37
qfffff80,524,854,6227,278,1638,873147.47
qforplan,161,421,4563,36,546,7456631500.0
qgfrdxpn,616,1092,2377,54,108,100790590000.0
qgrow15,300,645,5620,38,462,-101693640.0
qgrow22,440,946,8252,65,787,-149628950.0
qgrow7,140,301,2612,30,327,-42798714.0
qisrael,174,142,2269,42,656,25347838.0
qpcblend,74,83,491,83,0,-0.0078425409
qpcboei1,351,384,3485,384,0,11503914.0
qpcboei2,166,143,1196,143,0,8171962.3
qpcstair,356,467,3856,467,0,6204387.5
qpilotno,975,2172,13057,94,391,4728586.9
qptest,2,2,4,2,1,4.371875
qrecipe,91,180,663,20,30,-266.616
qsc205,205,203,551,11,10,-0.0058139518
qscagr25,471,500,1554,28,100,201737940.0
qscagr7,129,140,420,8,17,26865949.0
qscfxm1,330,457,2589,56,677,16882692.0
qscfxm2,660,914,5183,74,1057,27776162.0
qscfxm3,990,1371,7777,89,1132,30816355.0
qscorpio,388,358,1426,22,18,1880.5096
qscrs8,490,1169,3182,33,88,904.56001
qscsd1,77,760,2388,54,691,8.6666667
qscsd6,147,1350,4316,96,1308,50.808214
qscsd8,397,2750,8584,140,2370,940.76357
qsctap1,300,480,1692,36,117,1415.8611
qsctap2,1090,1880,6714,141,636,1735.0265
qsctap3,1480,2480,8874,186,861,1438.7547
qseba,515,1028,4352,96,550,81481801.0
qshare1b,117,225,1151,18,21,720078.32
qshare2b,96,79,694,10,45,11703.692
qshell,536,1775,3556,405,34385,1572636800000.0
qship04l,402,2118,6332,14,42,2420015.5
qship04s,402,1458,4352,14,42,2424993.7
qship08l,778,4283,12802,940,34025,2376040.6
qship08s,778,2387,7114,538,11139,2385728.9
qship12l,1151,5427,16170,2023,60205,3018876.6
qship12s,1151,2763,8178,1042,16361,3056962.3
qsierra,1227,2036,7302,122,61,23750458.0
qstair,356,467,3856,66,952,7985452.8
qstandat,359,1075,3031,138,666,6411.8384
s268,5,5,25,5,10,5.7310705e-07
stadat1,3999,2001,9997,2000,0,-28526864.0
stadat2,3999,2001,9997,2000,0,-32.626665
stadat3,7999,4001,19997,4000,0,-35.779453
stcqp1,2052,4097,13338,4097,22506,155143.56
stcqp2,2052,4097,13338,4097,22506,22327.313
tame,1,2,2,2,1,0.0
ubh1,12000,18009,48000,6003,0,1.1160008
values,1,202,202,202,3620,-1.3966211
yao,2000,2002,6000,2002,0,197.70426
zecevic2,2,2,4,1,0,-4.125
