name,optimal
10teams,923.9999999999997
a2c1s1,10889.137625
acc-tight4,0.0
aflow30a,1158.0
app2-1,19294.125
b1c1s1,24544.25
beasleyC2,144.0
berlin,1043.999999997141
binkar10_1,6742.1998835
bppc4-08,53.0
bppc8-09,471.9999999999998
breastcancer-regularized,35.76784210526315
csched007,350.9999999999955
cvrpsimple2i,34.0
cvs16r128-89,-97.0
danoint,65.6666666666
enlight8,27.0
f2gap401600,82306.9999999945
fiber,405935.18
flugpl,1201500.0
gen,112313.3627179998
gen-ip021,2361.45419519
ger50-17-ptp-pop-6t,8942.6328
gmu-35-50,-2607958.33
graphdraw-gemcutter,7118.5
gt2,21165.99999999978
haprp,3673280.6808
ic97_tension,3942.0
mad,0.0268
markshare1,0.9999999999990905
markshare_5_0,1.0
mc8,1566.0
mik-250-20-75-2,-50768.00000000001
mik-250-20-75-5,-51532.0
milo-v13-4-3d-3-0,273238.08563337
misc07,2810.0
mkc1,-607.20703
mtest4ma,52148.0
n5-3,8104.999999993999
neos-1112782,571844066711.0
neos-1425699,3179698976.996124
neos-2652786-brda,4.792499599999999
neos-3046615-murg,1600.0
neos-3072252-nete,11807698.0
neos-3530903-gauja,168.0
neos-3610040-iskar,37.0
neos-3611447-jijia,107.0
neos-3754480-nidda,12941.73838561778
neos-4333596-skien,-14610731.01
neos-503737,50.0
neos-5078479-escaut,9682.338178668055
neos-5192052-neckar,-11670000.0
neos-555343,1512800.0
neos-807639,454.1999999999998
neos16,446.0
neos2,454.86469703
neos5,15.0
newdano,65.66666666
nexp-50-20-1-1,28.99999999999999
nh97_tension,1418.0
p0201,7614.999999999997
pb-market-split8-70-4,0.0
pg5_34,-14339.35345
pigeon-08,-7000.0
pigeon-16,-15000.0
prod1,-56.0
qnet1,16029.69268099998
r50x360,1653.0
ran13x13,3252.0
rococoC10-001000,11460.0
