name,table_rows,table_cols,table_nonzeros,optimal,note
25fv47,822,1571,11127,5501.8458883,
80bau3b,2263,9799,29063,987224.19241,corrected against README table gives 987232.16072
adlittle,57,97,465,225494.96316,
afiro,28,32,88,-464.75314286,
agg,489,163,2541,-35991767.287,
agg2,517,302,4515,-20239252.356,
agg3,517,302,4531,10312115.935,
bandm,306,472,2659,-158.62801845,
beaconfd,174,262,3476,33592.485807,
blend,75,83,521,-30.812149846,
bnl1,644,1175,6129,1977.6292856,
bnl2,2325,3489,16124,1811.2365404,
boeing1,351,384,3865,-335.21356751,
boeing2,167,143,1339,-315.01872802,
bore3d,234,315,1525,1373.0803942,
brandy,221,249,2150,1518.5098965,
capri,272,353,1786,2690.0129138,
cycle,1904,2857,21322,-5.2263930249,
czprob,930,3523,14173,2185196.6989,
d2q06c,2172,5167,35674,122784.23615,
d6cube,416,6184,43888,315.49166667,
degen2,445,534,4449,-1435.178,
degen3,1504,1818,26230,-987.294,
dfl001,6072,12230,41873,11266400.0,approximate
e226,224,282,2767,-11.638929066,corrected against README gives -18.751929066; the difference is exactly 7.113
etamacro,401,688,2489,-755.71521774,
fffff800,525,854,6235,555679.61165,
finnis,498,614,2714,172790.96547,
fit1d,25,1026,14430,-9146.3780924,
fit1p,628,1677,10894,9146.3780924,
fit2d,26,10500,138018,-68464.293294,
fit2p,3001,13525,60784,68464.293232,
forplan,162,421,4916,-664.21873953,
ganges,1310,1681,7021,-109585.73613,corrected against README gives -109586.36356
gfrd-pnc,617,1092,3467,6902235.9995,
greenbea,2393,5405,31499,-72555248.130,corrected against README gives -72462405.908
greenbeb,2393,5405,31499,-4302260.2612,corrected against README gives -4302147.6065
grow15,301,645,5665,-106870941.29,
grow22,441,946,8318,-160834336.48,
grow7,141,301,2633,-47787811.815,
israel,175,142,2358,-896644.82186,
kb2,44,41,291,-1749.9001299,
lotfi,154,308,1086,-25.264706062,
maros,847,1443,10006,-58063.743701,
maros-r7,3137,9408,151120,1497185.1665,
modszk1,688,1620,4158,320.61972906,
nesm,663,2923,13988,14076036.488,corrected against README gives 14076073.035
perold,626,1376,6026,-9380.7580773,
pilot,1442,3652,43220,-557.48972928,corrected against README gives -557.40430007
pilot4,411,1000,5145,-2581.1392641,
pilot87,2031,4883,73804,301.71072827,
pilotnov,976,2172,13129,-4497.2761882,
recipe,92,180,752,-266.616,
sc105,106,103,281,-52.202061212,
sc205,206,203,552,-52.202061212,
sc50a,51,48,131,-64.575077059,
sc50b,51,48,119,-70.0,
scagr25,472,500,2029,-14753433.061,
scagr7,130,140,553,-2331389.2548,
scfxm1,331,457,2612,18416.759028,
scfxm2,661,914,5229,36660.261565,
scfxm3,991,1371,7846,54901.25455,
scorpion,389,358,1708,1878.1248227,
scrs8,491,1169,4029,904.29695380,corrected against README gives 904.29998619
scsd1,78,760,3148,8.6666666743,
scsd6,148,1350,5666,50.500000078,
scsd8,398,2750,11334,904.99999993,
sctap1,301,480,2052,1412.25,
sctap2,1091,1880,8124,1724.8071429,
sctap3,1481,2480,10734,1424.0,
seba,516,1028,4874,15711.6,
share1b,118,225,1182,-76589.318579,
share2b,97,79,730,-415.73224074,
shell,537,1775,4900,1208825346.0,
ship04l,403,2118,8450,1793324.538,
ship04s,403,1458,5810,1798714.7004,
ship08l,779,4283,17085,1909055.2114,
ship08s,779,2387,9501,1920098.2105,
ship12l,1152,5427,21597,1470187.9193,
ship12s,1152,2763,10941,1489236.1344,
sierra,1228,2036,9252,15394362.184,
stair,357,467,3857,-251.26695119,
standata,360,1075,3038,1257.6995,
standmps,468,1075,3686,1406.0175,
stocfor1,118,111,474,-41131.976219,
stocfor2,2158,2031,9492,-39024.408538,
tuff,334,587,4523,0.29214776509,
wood1p,245,2594,70216,1.4429024116,
woodw,1099,8405,37478,1.3044763331,
